Id	individual	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
JNT093	093	0.23264279019612916	0.3350171687962836	0.20509066241926716	-0.0038379918410282616	0.18565238738553913	-0.05898997098711668	0.04821481424291058	-0.6376459269013083	-0.1344576002697844	-0.07284456364274808	-0.15227623472564308	-0.018600621268245944	-0.26520602240717256	0.2849518370269124	-0.24527569782827546	0.3398973628106198	0.016184111045106142	0.13717820472168196	0.011808156032394723	0.08128985684438006	0.022822667697037044	-0.06348750108241882	0.02211023184760058	-0.10081536336112276	0.15040533326552935	-0.10987901646600833	-0.09771559890063956	-0.11223347464988048
JNT094	094	0.3065414446129331	0.2543561125460811	0.28048444267533124	0.0925922794489012	0.2643973335145375	0.05429966779311618	-0.03269993036901878	-0.6099752527368176	-0.1884843257943017	-0.012143343773446605	-0.2174304979255738	0.058232937469546844	-0.25253768307744606	0.16730039321246673	-0.22003574597590234	0.22232499704652245	0.01579193586688003	0.0757703801314873	0.007500880248403803	0.013593111836045243	-8.087865023880189E-4	-0.08624838204997548	-0.0037462054362862856	-0.1047844847766965	0.16661027752542662	-0.055885788443706286	-0.1255831393625954	-0.06943262770352511
JNT096	096	0.30905411954332396	0.16587258472220143	0.28039879569588017	0.037272443617281346	0.23923428121569273	1.0026503491005097E-4	0.0978264855098103	-0.6199363609336243	-0.20307174546786969	0.010518067473948617	-0.23722364017605965	0.059851507205509	-0.25843198971092257	0.1714115339588725	-0.21523547110386548	0.2288026792734127	-0.005718074049231882	0.11394144485361789	-0.0077979679134936135	0.07046444574280548	-0.008364086418821526	-0.05451664879249295	-0.006880684620833241	-0.08139498213756256	0.1670292701876899	-0.05128454038751612	-0.1508192926912991	-0.05110243963136328
JNT100	100	0.32918675843148026	0.19383279719789423	0.24326027213570606	-0.01111329715030912	0.21354529830177507	-0.024714658331938824	0.0680274047671968	-0.5961269687151108	-0.20119102290583188	-0.019298098461061612	-0.22679231873210573	0.014628789249915557	-0.3018984653632899	0.17068345736885074	-0.24257333286745322	0.22928377916768475	0.047873647528131044	0.14481996825932056	0.020542504862640944	0.10098849352162749	0.022286961341179023	-0.021295848887019284	0.019381596697073726	-0.0479106185604641	0.15954561123327526	-0.05675665954285764	-0.15119491542977725	-0.07702113511653186
JNT102	102	0.24297410102664863	0.25103986983249876	0.2308998875146371	0.03932949948394332	0.2124560535115861	-0.02079470595980943	0.014037306513162436	-0.653338529814966	-0.17966063203371857	-0.015520461169018892	-0.21304991590145586	0.027630893037092645	-0.25725347974703466	0.21851903034424	-0.2247730595416502	0.23485405439675394	0.010603691390270122	0.14440773212091257	0.02274559582756374	0.07248282803062168	0.03622983139866183	-0.04968615592452774	0.03572612001535418	-0.07731261246928671	0.18984793988392915	-0.07786292934573076	-0.12078343985795371	-0.0937485125627231
JNT103	103	0.31672950217364865	0.1690829842673304	0.28936939604263345	-0.0017457086274204475	0.24308286070869295	-0.039575862584929164	0.036607438525081075	-0.5338132430684097	-0.21382603879196535	-0.01460794570862155	-0.2598462383745239	0.018275175587398627	-0.3209557472161472	0.1281317768412436	-0.25140955246815694	0.2155042656907937	0.029004632526171647	0.1458301367357418	0.03292792286223001	0.07986482717692893	0.03161769459952306	-0.007264950169657761	0.03146050466420844	-0.03158757823850903	0.20710891884326332	-0.06567305023348088	-0.17187129409465934	-0.062420827668408556
JNT104	104	0.29189367534201505	0.22352187694501943	0.2607595097727178	0.027200740094964856	0.19488494787054478	-0.025796041584254952	0.053915311254442266	-0.6137630598749125	-0.18011543443420994	-0.019859718690986412	-0.19976604998784941	0.02694805791006867	-0.28116669421904	0.2035934074529866	-0.24781815237604177	0.24007599871785232	0.021996961394847556	0.13266769550772947	0.02359683700637373	0.08447986379084894	0.022652541243291666	-0.05188616351628179	0.02230279264346579	-0.0747667982171296	0.1679464219380387	-0.07565181328296994	-0.15108266744859605	-0.07676404525293443
JNT105	105	0.28096206216148284	0.17630656619096413	0.2831342318034588	-0.017287130329787643	0.2388105807384189	-0.04672055202907137	0.09817729323104593	-0.5489396113577643	-0.22716042630640879	-0.008419598192617075	-0.24976843366551849	0.04138072824907749	-0.3009679231690652	0.1777041063887486	-0.2471338306682841	0.22359141611816147	0.029054764432218695	0.15738888398573858	0.025682130100778258	0.0702915017448542	0.023175065243348624	-0.02157961413798482	0.02155579856164331	-0.04713201088956531	0.18812074764070205	-0.08454126723245965	-0.16364206010382074	-0.07204341850829465
JNT106	106	0.2860135431808042	0.19119600586892319	0.3110675130189058	0.00839415288115062	0.26986563458607116	-0.02265906632897494	0.046193964254261324	-0.5248549987808735	-0.22503309818039396	-0.013654014928542974	-0.2536035798234168	0.009773641772374865	-0.28093871593170583	0.16892404970672534	-0.23203371060913425	0.22028250265971472	0.01345324561090052	0.14758867952704216	0.010762635579591335	0.05600073769989191	0.010501990433318908	-0.04689056247947124	0.008421226867476116	-0.07058254709118973	0.2112538754346226	-0.06814467643590302	-0.1759245244213013	-0.05537390407086744
JNT107	107	0.30536107212423674	0.21784874835572057	0.267028361038946	0.05950697295961406	0.2596497585356487	0.023768575957341463	-0.05986669133242189	-0.6175519592617841	-0.18444510060319852	-0.013123889902775401	-0.20881478089804875	0.01463938151148162	-0.2725296694385917	0.14389449343732044	-0.24097026365045787	0.1833650562453369	0.01713616710842758	0.11224357485805929	0.021157846057920145	0.06905343463476406	0.022573914529485917	-0.03578614551088865	0.024939140390430062	-0.06148188667564279	0.21665419036793282	-0.041252900430425544	-0.16787394423030935	-0.05512345617812265
JNT109	109	0.32286278511193806	0.21777883987613653	0.2974676719645198	0.013544201540032092	0.2719140214241228	-0.018598116074841107	-0.012718930843336425	-0.5155452966217903	-0.2240140123827626	-0.012356045974276019	-0.25953183603752933	0.02157865371425636	-0.303205199670843	0.09849798316059374	-0.23913570330295628	0.20989893181245792	0.03555199693645972	0.1370834192221171	0.026120845024099504	0.04361035342820713	0.020173016051407037	-0.047157098040439986	0.018418439433321734	-0.07385381135332189	0.21891460206374888	-0.039724701613772555	-0.17281769577218983	-0.03475731307535961
JNT110	110	0.2876760821911529	0.1652253630032592	0.31304317191986547	0.004682612151806237	0.30348825594155	-0.023948479656255312	0.027764953302643957	-0.48716631232493496	-0.241622165911725	-0.002235836666493147	-0.2743902869645856	0.020803520916337755	-0.3076253386247405	0.15945281315430015	-0.25943209720040045	0.20521122086757154	0.016732131392682828	0.12553573070715154	0.019011370775265657	0.044586882777324345	0.02719177275178767	-0.04725743510207783	0.03003916862871274	-0.06716650564201346	0.22129039453930965	-0.04718236114223068	-0.1631674127415196	-0.050541213043745994
JNT113	113	0.2742197737047835	0.19421790955640544	0.269500929328319	0.05570947193921865	0.2414007126419366	0.014457091466003675	-0.016911514321196718	-0.63445624376887	-0.18464026732970457	0.0021642271578507233	-0.23076882709894359	0.054172869240622826	-0.2679398410089523	0.15034081782437855	-0.2438525439465534	0.1974187389238585	0.015351725651958758	0.12493188064151534	0.021325508192961244	0.08047568994890704	0.026465854519493952	-0.047975538147073955	0.025607897734138536	-0.08016304399703085	0.2048440209647895	-0.04545824256033134	-0.13460342903303044	-0.06583562822545475
JNT115	115	0.28187529222987917	0.30985781613532754	0.22026924108534582	0.0011277267338923765	0.190177835240501	-0.04212637576481099	0.03857549705436344	-0.5824433506690184	-0.13652480443094595	-0.061242278102844105	-0.15919206724949134	-0.023402439584160814	-0.291928929492823	0.2775876867781113	-0.281248078839622	0.33506306593109964	0.015900772574932043	0.10569444867288046	0.02123243933990739	0.043033206566416175	0.02019550807823703	-0.07410034122168721	0.020094318462619738	-0.1045646462842576	0.16795979584431647	-0.08381070472863786	-0.10738681989722022	-0.10067381446230983
JNT116	116	0.30953013748689545	0.15157454779068671	0.29055579364590717	-0.020488709098239848	0.2572337114821208	-0.05803550199047405	0.09812183496884663	-0.4892572481604115	-0.2704019402054807	-0.0073828291030410415	-0.298929626854442	0.017794276899809353	-0.29149360234575866	0.15521864291611484	-0.24182434645475592	0.2007211745646572	0.032394394828649024	0.1568540198502334	0.022462749063887767	0.08233790842560992	0.027220246119955074	-0.015317685596964779	0.025638196217043267	-0.04102569568650069	0.2296814724934665	-0.08000670928483886	-0.1901890204463348	-0.05298619152664033
