Id	species 	individual	jaw type	tooth position	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
Cb022U04	Cb	022	U	04	0.3271602966282392	0.14831257137045992	0.36360387258426907	0.03920412756698867	0.31707464185564355	0.0026269965952599103	0.07690431478522113	-0.4460607194191607	-0.28534002448414497	0.002184655995092037	-0.36808364302456315	0.07497578866241816	-0.24605298376077014	0.18610869417847303	-0.12201286579458523	0.14949929257220834	-0.01565868661642233	0.13179555778185836	-0.005345660405180895	0.03296550819092648	-0.007218047223886055	-0.04680363684685148	-0.00989492944383647	-0.10936694514870611	0.1250029630682749	-0.07758820616626387	-0.15013924816825758	-0.08785368533270291
Cb022U05	Cb	022	U	05	0.31823663804139407	0.1468719967745828	0.35144512002697964	0.0236598893635005	0.29155701472624035	-0.011302705520345853	0.09494022307598855	-0.43597845449544026	-0.29027599683013416	0.02091339137031925	-0.35030126716321014	0.06924465824551673	-0.28201081138234	0.1887355528041759	-0.17677844622750835	0.19253143941558487	0.011842425782777388	0.13646545759961498	0.015375469550419529	0.02366662718352077	0.007132634523374201	-0.06124092235837088	0.006269987276096092	-0.11622898493460569	0.12634760178973595	-0.09402959641618146	-0.12378059318981273	-0.08330834903187262
Cb022U06	Cb	022	U	06	0.32395113165089623	0.14915758395608772	0.3516102116775686	0.04052908790758825	0.3083401971473647	-0.008694702552075863	0.06263132176451103	-0.43889721096458323	-0.26805147051172445	-0.0029843994077848462	-0.35772404334311925	0.07005879696056064	-0.2687098100541593	0.17926048610660872	-0.17335860255268376	0.19294667940194232	0.0033100408290379704	0.14494357619273066	0.017285463342313644	0.022981520918166343	0.004159276364689377	-0.06948586587975021	0.006987858165267452	-0.10493091574363754	0.12396592108228073	-0.09364934007695896	-0.13439749556224223	-0.08123529681889502
Cb022U07	Cb	022	U	07	0.3348004112434518	0.1418820623728452	0.3454581400987426	0.03473205987898671	0.2975859597075193	-0.008547312351708303	0.0698773452725105	-0.4398868915841868	-0.2680734265354913	0.0024226094926012368	-0.34882004598827027	0.06912256670921356	-0.27556915519995556	0.1837753142574172	-0.17073551848386243	0.19711986245361596	0.004058323725197918	0.1512839113912972	-0.0011787664459903587	0.0319617215609224	-3.652453165271328E-4	-0.059728900804946666	0.002189196158295421	-0.11154970203255997	0.1335783830934942	-0.08970162002840995	-0.12280560132911489	-0.10288568131508852
Cb022U08	Cb	022	U	08	0.33016339627812535	0.14391341036704472	0.34255819553286665	0.03845647939024628	0.28742832776105587	-0.017876934984025913	0.09242822711110732	-0.43619901464972016	-0.2886149595129793	0.010589647002828682	-0.35403579508059885	0.08840060388999696	-0.2831366958074169	0.18548257873082988	-0.16830605175385605	0.17782268636399928	0.010793359847737011	0.1185747742546585	0.008036940935642192	0.03271036614351825	0.011338572263466289	-0.06437004145938818	0.007222558939854504	-0.11033060448486637	0.14648795682037552	-0.08572014384153281	-0.14236403333537923	-0.08145380672358953
Cb022U09	Cb	022	U	09	0.34464596793325525	0.13056839237032497	0.3483960746202095	0.025991628418438308	0.2940550717426239	-0.020745424755678726	0.09947867668031429	-0.4079091410709187	-0.2925743516056454	0.011579621894511463	-0.3669577833616916	0.07926582576763201	-0.28382878323220845	0.18250300796190988	-0.18137371097217797	0.19415272398584554	4.7234512170829523E-4	0.1332400296915021	0.00931095924651152	0.02592331993693652	0.007336711664523993	-0.0695459509551787	0.007980090013485687	-0.1131592251522914	0.12860942986667506	-0.08204696995579708	-0.11555069771758444	-0.0898178381372364
Cb024L01	Cb	024	L	01	0.23449884814150548	0.2443726644231627	0.32563370662657737	0.0486756266633795	0.29007995270071724	-0.06645169864467926	0.01967444306711883	-0.455043339504573	-0.29861124112378595	-0.032995946173074525	-0.3008207689264898	0.03794587893266475	-0.2532762426018746	0.23427474472404633	-0.14605716539143676	0.24417510534707867	0.04030062791054637	0.18713111054143425	0.01780293172100453	0.04878041528640898	0.006525590000176507	-0.07884785804023717	0.006433179308663934	-0.1261580436227821	0.16984207634063364	-0.14846608947036188	-0.11202593777335922	-0.13739257046246334
Cb024L10	Cb	024	L	10	0.35536436377169395	0.13530752410462044	0.3668756736034359	0.03996941528362419	0.3599354230433989	0.003820687942440261	-0.0031138956408686413	-0.3964607539145241	-0.3495253924246966	-0.002208931136139798	-0.3500774102229042	0.04586190544155743	-0.2958948410860802	0.13512449114583697	-0.15368606862076267	0.1392603146658928	0.029319627555304383	0.11991486935945844	0.011173885794122316	0.03702811479343479	0.004798471527522539	-0.028724295930752586	-0.007191003957653229	-0.07036826820118824	0.1176284506198894	-0.07133273934579336	-0.08560728396240379	-0.08719233420846659
Cb024L11	Cb	024	L	11	0.39463028405848233	0.12923025598709212	0.38315068757397636	0.059821390293445326	0.33677009082260717	-0.0093107189974058	-0.016312772319172192	-0.38539490427137596	-0.27035335564822605	-0.040878272255317365	-0.3529868261741083	0.032732063636069134	-0.3069145977390633	0.13648790134330835	-0.150588217746198	0.15230834684018107	0.013254777062782698	0.14156321772658648	0.0016147866651741285	0.04596420216734454	-0.0035789011088818226	-0.03631419590949015	-0.009540039098583837	-0.07763698764560371	0.12035589418078792	-0.07516923799479833	-0.13950181052957925	-0.07340306092003505
Cb024L12	Cb	024	L	12	0.36029926259044126	0.13577668010557364	0.3865291895586297	0.03516485703022097	0.36269047408096644	-0.01939948404285089	-0.018102548558149606	-0.3449446275915107	-0.3417813812050706	-0.025490889593045598	-0.3643685821783948	0.03876831821589741	-0.3078337434723306	0.12724566125178288	-0.1341358238224921	0.1457899759306668	0.013204742178507416	0.14704135470509797	0.01017021220629822	0.043987808063506224	0.0055465967437155275	-0.045140570459064895	0.008697160012690327	-0.07487576932069732	0.1265740634916233	-0.06911589435067973	-0.10748962162643586	-0.09480741994489761
