Id	jaw type	tooth position	Side	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
Io093L01L	L	01	L	0.23562527437750963	0.30714795202734524	0.22053168279724544	0.06992334016691393	0.19787863235004158	0.007468060241067095	0.05167221407920992	-0.7013134501157247	-0.1661282015969768	0.010220804079112113	-0.18761866751847678	0.057497960755199494	-0.19895431205287134	0.25242381742353226	-0.17207422688160995	0.2958572276773702	-0.008553080311271707	0.09030666096348401	-0.013630743113589095	0.03688793387596226	-0.004983929611897118	-0.09323579293917883	-0.006496533008718004	-0.12968579760090554	0.14753040397145606	-0.09472708153104352	-0.0947985134800519	-0.10877163502313505
Io093L02L	L	02	L	0.23535960697446837	0.24617503163332585	0.22044540401561977	0.028328504580403317	0.20449820852385503	-0.01599980565554763	0.1247168728174313	-0.6615053274527902	-0.16900825032598105	0.01567226415279477	-0.19294595009808221	0.0750659266185449	-0.24679287326874713	0.28046463843571867	-0.20875657516389304	0.3126297691659584	-0.0082411731282888	0.08196655659870074	-0.011094890001448424	0.028674260469056318	-0.0010552611005463473	-0.0819384079349676	1.2827658642963757E-4	-0.12317368688139446	0.1464245930987473	-0.08854008309285064	-0.09367798892956464	-0.09781964063695316
Io093L03L	L	03	L	0.2710340703870819	0.1800953986744273	0.2538641879775504	-0.04891537976286438	0.19663762311028676	-0.0641148427344651	0.13746218416968847	-0.522373462859442	-0.18172235797052086	-0.003700229195335733	-0.20857955619763505	0.04375897424899318	-0.33794900651560994	0.25568717152057385	-0.32088430136747415	0.30477806420284725	0.014860855355251133	0.1210162594410073	0.056309772798477216	0.0411836581607124	0.05583661086842774	-0.06428535105659153	0.053524524105695	-0.10371964706542582	0.15217775635483657	-0.09096658590132872	-0.14257236307605395	-0.048444027673107896
Io093L04L	L	04	L	0.2893168730447824	0.16772990255064768	0.2881626981056013	-0.02042702738508438	0.23594344384625573	-0.0522954715674636	0.07515433645530566	-0.513621265353331	-0.19905727686225105	0.01627156425998814	-0.2420702484649716	0.07376130950839714	-0.3445689011792271	0.1941593758094078	-0.30069917468026425	0.22743116830279725	0.003308964291987817	0.12109734086604426	0.05925064733177913	0.04895610069793377	0.054864454759973466	-0.05526536830244286	0.05231607651242993	-0.08526990561654457	0.1731173479853751	-0.07940910707473745	-0.14503924114677544	-0.0431186166956132
Io093L05L	L	05	L	0.3630105869679712	0.14506999539257392	0.3122132826094888	-1.842440786332944E-6	0.24817030977782364	-0.04693439794758887	0.07091343837747403	-0.4674373247457493	-0.20839389544951997	-0.0013490937439751896	-0.2595247784285693	0.044345337233368226	-0.33914757309204024	0.18444356485817293	-0.30361005854883016	0.21399792683283697	0.023827265802873976	0.10423939365769697	0.024024478372061883	0.05818940591409239	0.02591376103365768	-0.03710238244542827	0.02476774429471785	-0.06573645628290482	0.1674679801436391	-0.07098630920568888	-0.1496325418607478	-0.06073781707661896
Io093L06L	L	06	L	0.36610834594495734	0.14693358009772975	0.2971740554521104	-0.006257097241306388	0.2656076980520304	-0.037076209437642296	0.05338309555940347	-0.46845726837848506	-0.21431774685680113	-0.011414125357236552	-0.2509109362513759	0.026868345099976987	-0.3348163115311328	0.18068276218561047	-0.3007143443952338	0.2178253294643906	0.020786116955315716	0.11402489318777174	0.016462234946846725	0.06683734678907233	0.018332090982354346	-0.023345530372774335	0.01661807629368188	-0.057540358967850834	0.18236951225870615	-0.07809206511440446	-0.13608188741086322	-0.07098960195485175
Io093L07L	L	07	L	0.35050198528080034	0.14109480345166428	0.322338486897122	-0.0014792203311811206	0.2722535633643639	-0.03444339170270141	0.06627479804311416	-0.4478142290816778	-0.21146798890663335	-0.01925199252646755	-0.2602406041611273	0.015403429678865262	-0.33396266160946153	0.18122852309170479	-0.2942241259006527	0.23240285856657206	0.021619784951267255	0.130459978466199	0.0274689471363426	0.060255176538308676	0.026295511270169963	-0.032000045249520714	0.025039242236082667	-0.07166286801374956	0.15774999170784199	-0.0957250796973944	-0.16964693030922773	-0.05846794319061968
Io093L08L	L	08	L	0.340546311589146	0.20082787104258934	0.31719708568479404	0.008372452867005699	0.29271392375065364	-0.06274866402646352	0.0651520224243681	-0.4312349992684056	-0.19550728637013698	-0.024603301912808316	-0.26585660788941085	0.011846677177450731	-0.31561366349524467	0.19769147950826518	-0.2649734855261242	0.2530661279696248	0.014396826274856942	0.132549194512224	0.002738115502206785	0.06347780740593516	-0.0024503745584978547	-0.0599643837167252	-0.003760763833444203	-0.09031578019530791	0.16164957421557913	-0.11175689329879826	-0.14623167776874457	-0.0872075880645869
Io093L09L	L	09	L	0.3294937543843175	0.2548233458657323	0.3163374159026917	0.007459810326689194	0.2606138142975093	-0.06289476328974344	0.050437964904353864	-0.42663521868123133	-0.22029958532828858	-0.06115143798533261	-0.2752221861255774	-0.00200381113391215	-0.29554835578690025	0.22288307186371178	-0.22524143541140507	0.2781860131253189	0.01453404499568613	0.15478332653212015	0.022423459172317434	0.055564487434267784	0.014950967228741948	-0.051870858543659214	0.020564306859497627	-0.101660237894906	0.12571799885630866	-0.12703557070192903	-0.13876216394925056	-0.14044815691712512
Io093U01R	U	01	R	0.2677104912745231	0.16554781393416668	0.2315637709500845	0.014445979889477408	0.20736436778354994	-0.018055986070656768	0.1501931675080039	-0.6585572162210792	-0.21198378517595398	0.061127479292512416	-0.2212881117453442	0.09059186581100616	-0.2848458669225177	0.21295204311737645	-0.22358420182683517	0.24263436191352225	0.022273071380821435	0.09005517039105956	0.03454198754522234	0.04935092814760548	0.018360264832542068	-0.06298025125284584	0.007244262231842872	-0.10115368567043187	0.14502070967797115	-0.0579475330401637	-0.14257012751391082	-0.02801097024154891
Io093U02R	U	02	R	0.2606436468395696	0.13410976311368877	0.2639085341892881	8.023109633161114E-4	0.2370912510963677	-0.03085247343081317	0.15432814133810752	-0.6176712042390667	-0.2185510040369844	0.050586737015421004	-0.2341783011571643	0.0867521777210945	-0.28005007199387744	0.20131043078801503	-0.2613421384986396	0.24357945025101274	0.0291263552917104	0.10484136654100733	0.03325454137556452	0.06132045917545434	0.021172522460040796	-0.0449390588427775	0.015425945407493879	-0.08276593079417598	0.13481054986453392	-0.07038001463897639	-0.15563997217601064	-0.036694013623200544
Io093U03R	U	03	R	0.32372924756913424	0.15655466684219932	0.318743720644814	0.02100859586434926	0.2750850255050198	-0.040294964318973586	0.15193490984182256	-0.45767435838825704	-0.25354153471362656	0.037432603319962315	-0.26265694763710373	0.08882289135754518	-0.31166042609731476	0.1884792590313749	-0.24297332642134806	0.2538974569419251	0.012984275244647603	0.08313665832157166	0.015487585083426151	0.006238882590271286	-8.362239271486778E-5	-0.06734653314746057	-0.0034298743574181813	-0.10246352720891681	0.17153895621846849	-0.10018304124667479	-0.19515798848780563	-0.06760858995891722
Io093U04R	U	04	R	0.34699269983091446	0.11174137737874135	0.26193181390773934	-0.03966015884383252	0.21930305792524296	-0.055449691509571374	0.17462934508716632	-0.5179474928290555	-0.2294948489088335	0.03564185631236795	-0.2592033756644266	0.07494888586148532	-0.3349198241680686	0.19416551260669956	-0.27191578262090654	0.2454392867791041	-0.006256559926891133	0.12931615820898382	0.024609122259990856	0.051089007016234055	0.02814865812374002	-0.03138718216323981	0.03162350691087356	-0.06401811777493537	0.16821804490905992	-0.07973614640123142	-0.153665857665601	-0.05414329464175077
Io093U05R	U	05	R	0.32091678275059904	0.12222888784724659	0.27010833210965013	-0.0353176169607257	0.22071516415977502	-0.06666797604972577	0.15889593332198557	-0.530689467862985	-0.21414993891491124	0.03892359075819559	-0.2473683642493467	0.07926794590503346	-0.3390681081805603	0.19241431924160987	-0.2873319547663521	0.2447556217581499	0.008355427098340225	0.11316322143507991	0.02919988092322362	0.05832665243862066	0.03123919604015876	-0.023679641020400478	0.03500200421305197	-0.05143367596186857	0.1675736792794358	-0.08372984798867852	-0.15408803378505057	-0.05756201353955179
Io093U06R	U	06	R	0.30741262472836195	0.11946026682818287	0.2982326891773634	0.003745249676726646	0.2664487260538499	-0.03848056741859181	0.11270826509450121	-0.5176335463650911	-0.22574942073115958	0.03604494924126262	-0.26383573624451395	0.09320711229284043	-0.3217909438964329	0.17312540583170405	-0.28680170011575834	0.21532051919447953	0.01894399958351123	0.09688869785149488	0.030230668437986725	0.05184462588698512	0.027273632201837067	-0.033554386420703096	0.02465573590189042	-0.06295137773099824	0.17295801604114633	-0.08598639162479642	-0.16068655623258396	-0.05103055724349527
Io093U07R	U	07	R	0.32090465437642285	0.14318702583679663	0.28288956815587996	-0.010237338199642808	0.23607888859760653	-0.05913567127092262	0.10862030729209424	-0.5019356381729095	-0.22551931223224275	0.0455949826995123	-0.2702215502010529	0.09948190348906502	-0.3312797410397522	0.15909232736598244	-0.3081630290837987	0.2231663932415569	0.03435696341314979	0.09657600640539024	0.04118013257184833	0.03979646599923206	0.03465162174253978	-0.04044947454760673	0.04223381210926007	-0.06998316409283868	0.1872997893947258	-0.07844261074664072	-0.15303210509668214	-0.046711208006974966
Io093U08R	U	08	R	0.31664408159259166	0.17534768899540587	0.2822013383971563	-0.011703118816246992	0.24461400429692942	-0.04760142017723132	0.07625024550190622	-0.5025296826005743	-0.221576794858733	0.0139163568125916	-0.263800192098396	0.06306581002475825	-0.3121660366189088	0.1499055354309351	-0.2752546028219399	0.24475344061734233	0.02651820400873893	0.13168827969457647	0.03221178424272503	0.08540191906694453	0.037838911676516686	-0.04960037851260425	0.03671385239295171	-0.0930490565113049	0.1677691681750537	-0.09391233180489937	-0.14796396388659322	-0.06568304221969322
Io093U09R	U	09	R	0.3320173568047973	0.16044591770690736	0.29620639765616913	0.012712521472697687	0.2645178341626562	-0.05033793315093799	0.0847008472413262	-0.4611397685363389	-0.2248888317163453	-0.012783083971239121	-0.2626072817069253	0.0402920559736976	-0.3092587198916732	0.17867245691838285	-0.2785425720443732	0.26010965838407835	0.026286340811620047	0.12707225029691027	0.022934591369971592	0.05364627563255418	0.0196996339209152	-0.048893210436075474	0.011287785319840541	-0.08769664355753658	0.17913902216425118	-0.09608317487317065	-0.16149240409223026	-0.07601732185992974
Io093U10R	U	10	R	0.315138235021183	0.20240856466998616	0.3137408463840531	-0.00513836944731768	0.2837768274734257	-0.08281786391812748	0.08723787078535836	-0.439100345972834	-0.23421857660805284	5.727237973946232E-4	-0.2669461789709757	0.04206948254555386	-0.3312307754941378	0.1896712306439775	-0.24218802423373836	0.2306265357903359	0.02360738255536269	0.16394796455765723	0.013792433280042577	0.05022492978587592	0.012680487566883806	-0.045486603196495216	0.006781014092912438	-0.09566690885065621	0.16435808675715977	-0.12022873615911761	-0.14652962860947885	-0.09108260424623127
Io093U11R	U	11	R	0.3384762389894933	0.19597237112142366	0.3247768579226179	-0.012721834455626461	0.3072678078483815	-0.07477544817352012	0.1120185326542096	-0.3859050830516501	-0.22471179222615806	-0.03641750497355771	-0.2730412298486741	0.02077132951605592	-0.30956201018209156	0.18821289296250032	-0.266023502129761	0.2925666871765426	0.020642825013343663	0.1672494535852009	-5.676282890777805E-5	0.027033185554477826	-0.007138990379293856	-0.06769946346191841	-0.012760924780923416	-0.11402523008463739	0.15049364429370907	-0.12026526545020519	-0.16038069434594437	-0.07999609026508732
Io093L01R	L	01	R	0.19589542622956146	0.2750836185447836	0.22396350953425231	0.060986904050758406	0.18431648915363957	-0.011147930530249959	0.025114666650947103	-0.699926151000846	-0.17825265181546818	0.041038500314465334	-0.19373887491118424	0.08995633476156928	-0.24087642179075947	0.19727090982060452	-0.22340969958202786	0.27580816167977285	0.04364106403439143	0.10523919644600176	0.04712170674369236	0.04230496518908419	0.044867278274608076	-0.07859964340337906	0.03893815547868209	-0.12564954713345108	0.1493958690971329	-0.07757806087110017	-0.11697651709746675	-0.09478725786801438
Io093L02R	L	02	R	0.2608540490829906	0.30892079291180485	0.2245348752196448	0.07169165434373836	0.19585084858764557	-0.008236707041440281	-0.04646313379598753	-0.6825413289858134	-0.17047338270504453	-0.006247861938824522	-0.20436183225362728	0.03797708348970158	-0.2386033603843658	0.19073854853102232	-0.20505095278793398	0.2328795244533949	0.028667423418611747	0.0935880439899063	0.04192044756247497	0.05094336063581939	0.04482737993694106	-0.06905022016128255	0.03912754758341583	-0.10849958081861004	0.1587885265239447	-0.04648158471029713	-0.1296184359887108	-0.06568172469912012
Io093L03R	L	03	R	0.3863348890606121	0.2516471681209247	0.35246245601699716	0.09128428828659732	0.2950866641946969	0.054601532071467195	-0.1587414241839432	-0.5230358415980142	-0.17730295338661797	-0.043621045789636395	-0.2149240591238464	-0.025443328931467876	-0.2915500412681166	0.08070763445766735	-0.22164918184649654	0.19737616136755834	0.011398124559392	0.12602502985540343	0.003294531002747977	0.07301166346119864	-0.009277575348404782	-0.05119788293346293	-0.014605099720352475	-0.08589415924705328	0.15582816080613468	-0.05965252415861466	-0.11635449076280238	-0.08580869496256746
Io093L04R	L	04	R	0.38843958288393626	0.2197930825414984	0.2880827765169024	0.04250591288513317	0.262403677469716	0.011448640254827211	-0.05517835691250285	-0.5140573607933331	-0.20822943103608577	-0.034368245873958474	-0.24039303514126104	0.0035011059155177562	-0.3085532540014825	0.11480045908129337	-0.24296436783319386	0.21008648630120924	0.03795363943899171	0.12225806834216069	0.018755165249986126	0.052857022491449294	0.012413606174283635	-0.041669543987725904	0.011568299617648043	-0.06810711980398546	0.17634135995467662	-0.05913346913810156	-0.14063966238161604	-0.0599150382159845
Io093L05R	L	05	R	0.3620075128062482	0.20114750925655608	0.30623383121933756	0.037125240550754855	0.2731819757024577	-0.003076689059496207	-0.059205360922815094	-0.49205461297539227	-0.23238705919071784	-0.021342651845111808	-0.2545777952012196	0.009591927318472911	-0.3231583335327641	0.1182805416589712	-0.2535815285463447	0.19120735408717515	0.0393739070853097	0.12907291969386225	0.02987505160848758	0.0655124739904954	0.029026610979376942	-0.022720017926126525	0.028008789500456377	-0.05868304491870644	0.18549319437775877	-0.07723790650090992	-0.13029079588557083	-0.07682304333054446
Io093L06R	L	06	R	0.3498733766264827	0.1888607119467187	0.3401197555055137	0.03401801101653874	0.2944098318282991	-0.008740223874447735	-0.056565576348649886	-0.46715650389683444	-0.24101770545872955	-0.017145294671179277	-0.2761619039431015	0.016195056923958263	-0.30932632478786953	0.1263462566032701	-0.2551641487096783	0.17282341607222262	0.022620659089996203	0.12358679053779045	0.018596558247530374	0.053732635944006554	0.019803705912922423	-0.027386012998390625	0.01718634412217366	-0.07041540484218725	0.21513679427486398	-0.05772859499940482	-0.13951136635975261	-0.0669908437620619
Io093L07R	L	07	R	0.3382236417157895	0.2067294117146385	0.3157679729772261	0.017394829026510367	0.27897985398148306	-0.02084160576396643	-0.043334267552878225	-0.4642532644389231	-0.2391386324526544	-0.04459747295514396	-0.26953328322408837	-0.0040612482840591685	-0.3041635575482298	0.1595349006270003	-0.2543090943518878	0.2055208069125583	0.02813559712157281	0.14253661468082127	0.027168307851884087	0.08472190303119807	0.01541619589091132	-0.0479852569070697	0.013024926861278263	-0.08142080789438345	0.20736844216724742	-0.06611878991218426	-0.11360610343765558	-0.08716001983699667
Io093L08R	L	08	R	0.29433191526086605	0.21046431520058725	0.3171528744057171	0.03958686148148735	0.27837957830791504	-0.02288201354022132	-0.05887828951892797	-0.47461523846407644	-0.22665238264774198	-0.05465023318336521	-0.25821056156100425	-0.0037478933076868365	-0.2994919231996872	0.17402392447512566	-0.2584546974381487	0.2275474491152393	0.0187150376664723	0.1299769148524286	0.048432377370349534	0.06400345534951947	0.04974359498061455	-0.05329402330560747	0.04036220702571199	-0.09154564499217618	0.20850110773215585	-0.06196606615533187	-0.15393083838429023	-0.0829018075259229
Io093L09R	L	09	R	0.28191565563511145	0.2265192722596852	0.31206234658111526	0.02832115246952511	0.2906198140494649	-0.0410565148778454	-0.04117755058535165	-0.43081983406423324	-0.22824886210993955	-0.0505314475421818	-0.257261621053784	0.01014793443698218	-0.31664933141104484	0.19824207068038513	-0.2775436902224935	0.2464268328649015	0.020414029443232024	0.14379021685610222	0.051490198296253745	0.06029747283324125	0.061730023209948685	-0.05618528586766354	0.052206077395278175	-0.10578330888972333	0.1827456959077245	-0.10482136984237261	-0.13230278513551486	-0.12454719131680378
Io093L10R	L	10	R	0.23066751397582558	0.29754641341954535	0.3031201318177354	0.013230409285371704	0.2898091473343062	-0.06439197211125998	5.265054246902379E-4	-0.43572859155943144	-0.24523815040369193	-0.07006634233373579	-0.28577118696178955	-0.004464912139918658	-0.2873225669532981	0.2426625360246902	-0.19692190966613032	0.29035324200294	0.010191681998304166	0.15056937828608258	0.04869082491133563	0.05016307967060953	0.047139769886031274	-0.09429401928521161	0.041436038476149364	-0.13388688556812445	0.1726977123762871	-0.11785100223358473	-0.12902551221575387	-0.12384133345797343
